,WJSpecID,scientific_name,common_name,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
608,7785,Vireo cassinii,Cassin's Vireo,7,0,0,0,0,2,1,0,0,0,2,4,4,0,0,0,1.167317335,1.851851852,0.858024691,-0.066500214
618,7787,Vireo solitarius,Blue-headed Vireo,7,0,0,3,0,0,0,0,0,0,2,4,4,0,0,0,1.184691431,1.724137931,0.879310345,-0.055857817
617,7786,Vireo plumbeus,Plumbeous Vireo,7,0,0,3,0,0,0,0,0,0,2,4,4,0,0,0,1.214843848,1.724137931,0.879310345,-0.055857817
616,7790,Vireo philadelphicus,Philadelphia Vireo,7,0,0,2,0,1,0,0,0,0,0,5,5,0,0,0,1.06069784,1.851851852,0.858024691,-0.066500214
611,7803,Vireo gilvus,Warbling Vireo,8,0,0,1,0,0,1,0,0,0,2,3,5,0,0,0,1.102776615,1.515151515,0.914141414,-0.038986615
614,7791,Vireo olivaceus,Red-eyed Vireo,6,0,0,2,0,2,0,0,0,0,0,2,8,0,0,0,1.205745541,2.272727273,0.787878788,-0.103540592
610,7795,Vireo flavoviridis,Yellow-green Vireo,6,0,0,4,0,0,0,0,0,0,0,3,7,0,0,0,1.245265839,1.923076923,0.846153846,-0.072550667
605,7797,Vireo altiloquus,Black-whiskered Vireo,6,0,0,2,0,2,0,0,0,0,0,2,8,0,0,0,1.278067331,2.272727273,0.787878788,-0.103540592
307,7710,Lanius cristatus,Brown Shrike,8,2,0,0,0,0,0,0,0,8,1,1,0,0,0,0,1.50758604,1.470588235,0.921568627,-0.035472318
308,7719,Lanius ludovicianus,Loggerhead Shrike,7,2,1,0,0,0,0,0,0,8,1,1,0,0,0,0,1.712565528,1.851851852,0.858024691,-0.066500214
798,7721,Lanius borealis,Northern Shrike,1,7,1,1,0,0,0,0,0,10,0,0,0,0,0,0,1.802157753,1.923076923,0.846153846,-0.072550667
427,8036,Perisoreus canadensis,Grey Jay,4,2,0,3,0,0,1,0,0,6,2,2,0,0,0,0,1.854791694,3.333333333,0.611111111,-0.21387982
201,8019,Cyanocorax yncas,Green Jay,4,2,0,4,0,0,0,0,0,0,7,3,0,0,0,0,1.894869657,2.777777778,0.703703704,-0.152610163
273,7976,Gymnorhinus cyanocephalus,Pinyon Jay,3,3,0,0,0,4,0,0,0,2,2,3,3,0,0,0,2.020444155,2.941176471,0.676470588,-0.169751081
199,7978,Cyanocitta stelleri,Steller's Jay,2,4,0,2,0,2,0,0,0,4,2,2,2,0,0,0,2.10720997,3.571428571,0.571428571,-0.243038049
198,7977,Cyanocitta cristata,Blue Jay,2,2,0,2,0,4,0,0,0,4,2,2,2,0,0,0,1.944482672,3.571428571,0.571428571,-0.243038049
39,7989,Aphelocoma coerulescens,Florida Scrub-jay,2,3,1,2,0,2,0,0,0,8,1,1,0,0,0,0,1.887167021,4.545454545,0.409090909,-0.388180171
40,7982,Aphelocoma insularis,Island Scrub-jay,2,2,0,1,0,5,0,0,0,8,1,1,0,0,0,0,2.063633545,2.941176471,0.676470588,-0.169751081
38,7983,Aphelocoma californica,Western Scrub-jay,2,3,1,2,0,2,0,0,0,8,1,1,0,0,0,0,1.933183479,4.545454545,0.409090909,-0.388180171
799,7983,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,2,3,1,2,0,2,0,0,0,8,1,1,0,0,0,0,1.933183479,4.545454545,0.409090909,-0.388180171
696,7990,Aphelocoma wollweberi,Mexican Jay,1,2,1,2,2,2,0,0,0,6,1,3,0,0,0,0,2.054344889,5.555555556,0.240740741,-0.618450408
449,19563,Pica hudsonia,Black-billed Magpie,3,2,3,0,0,0,2,0,0,7,1,1,0,1,0,0,2.248267604,3.846153846,0.525641026,-0.279310746
450,8061,Pica nuttalli,Yellow-billed Magpie,3,4,1,1,0,1,0,0,0,7,2,1,0,0,0,0,2.199453479,3.571428571,0.571428571,-0.243038049
392,8068,Nucifraga columbiana,Clark's Nutcracker,2,2,1,0,0,5,0,0,0,6,1,2,1,0,0,0,2.11330815,2.941176471,0.676470588,-0.169751081
187,8093,Corvus brachyrhynchos,American Crow,2,3,2,2,0,1,0,0,0,8,2,0,0,0,0,0,2.652014139,4.545454545,0.409090909,-0.388180171
188,8092,Corvus caurinus,North-western Crow,3,2,2,3,0,0,0,0,0,8,2,0,0,0,0,0,2.591943442,3.846153846,0.525641026,-0.279310746
191,8094,Corvus ossifragus,Fish Crow,3,1,2,2,0,2,0,0,0,9,1,0,0,0,0,0,2.454234896,4.545454545,0.409090909,-0.388180171
190,8120,Corvus cryptoleucus,Chihuahuan Raven,3,4,1,1,0,1,0,0,0,9,1,0,0,0,0,0,2.727166984,3.571428571,0.571428571,-0.243038049
189,8124,Corvus corax,Common Raven,1,4,2,1,0,1,1,0,0,8,0,1,0,1,0,0,2.967533936,4.166666667,0.472222222,-0.325853579
699,9879,Poecile carolinensis,Carolina Chickadee,6,0,0,0,0,4,0,0,0,0,5,5,0,0,0,0,0.999565488,1.923076923,0.846153846,-0.072550667
700,9881,Poecile atricapillus,Black-capped Chickadee,6,0,0,2,0,2,0,0,0,0,2,8,0,0,0,0,1.033423755,2.272727273,0.787878788,-0.103540592
701,9882,Poecile gambeli,Mountain Chickadee,6,0,0,2,0,2,0,0,0,0,2,8,0,0,0,0,1.048830087,2.272727273,0.787878788,-0.103540592
702,9884,Poecile sclateri,Mexican Chickadee,8,0,0,0,0,2,0,0,0,0,2,8,0,0,0,0,1.003891166,1.470588235,0.921568627,-0.035472318
703,9889,Poecile rufescens,Chestnut-backed Chickadee,6,0,0,2,0,2,0,0,0,0,3,4,3,0,0,0,0.972665592,2.272727273,0.787878788,-0.103540592
704,9888,Poecile hudsonicus,Boreal Chickadee,6,0,0,2,0,2,0,0,0,0,0,4,6,0,0,0,0.991226076,2.272727273,0.787878788,-0.103540592
63,9949,Baeolophus wollweberi,Bridled Titmouse,10,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,1.017033339,1,1,0
