WJSpecID,Scientific,English,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
11958,Ploceus taeniopterus,Northern Masked-weaver,2,0,0,0,0,8,0,0,0,9,1,0,0,0,0,0,1.244524512,1.470588235,0.921568627,-0.035472318
11945,Ploceus temporalis,Bocage's Weaver,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1.553883027,1,1,0
11980,Ploceus tricolor,Yellow-mantled Weaver,8,0,0,2,0,0,0,0,0,7,3,0,0,0,0,0,1.565847819,1.470588235,0.921568627,-0.035472318
11961,Ploceus velatus,Southern Masked-weaver,4,0,1,0,0,3,2,0,0,10,0,0,0,0,0,0,1.490520309,3.333333333,0.611111111,-0.21387982
11959,Ploceus vitellinus,Vitelline Masked-weaver,4,0,0,0,2,4,0,0,0,10,0,0,0,0,0,0,1.301029996,2.777777778,0.703703704,-0.152610163
11970,Ploceus weynsi,Weyns's Weaver,7,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,1.462996612,1.724137931,0.879310345,-0.055857817
11948,Ploceus xanthops,Holub's Golden Weaver,3,0,0,3,2,2,0,0,0,10,0,0,0,0,0,0,1.608953699,3.846153846,0.525641026,-0.279310746
11953,Ploceus xanthopterus,Southern Brown-throated Weaver,2,0,0,2,2,2,2,0,0,10,0,0,0,0,0,0,1.341434525,5,0.333333333,-0.477121255
4231,Pluvialis apricaria,Eurasian Golden Plover,7,0,0,1,0,1,1,0,0,10,0,0,0,0,0,0,2.330413773,1.923076923,0.846153846,-0.072550667
4233,Pluvialis dominica,American Golden Plover,7,0,0,1,0,1,1,0,0,10,0,0,0,0,0,0,2.180326625,1.923076923,0.846153846,-0.072550667
4232,Pluvialis fulva,Pacific Golden Plover,7,0,0,1,0,1,1,0,0,8,2,0,0,0,0,0,2.13001195,1.923076923,0.846153846,-0.072550667
4234,Pluvialis squatarola,Grey Plover,7,0,0,0,0,1,2,0,0,10,0,0,0,0,0,0,2.397940009,1.851851852,0.858024691,-0.066500214
4174,Pluvianellus socialis,Magellanic Plover,10,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,1.924847633,1,1,0
4320,Pluvianus aegyptius,Egyptian Plover,8,0,1,0,0,1,0,0,5,5,0,0,0,0,0,0,1.913813852,1.515151515,0.914141414,-0.038986615
11173,Pnoepyga albiventer,Scaly-breasted Wren-babbler,5,0,0,0,0,5,0,0,0,6,4,0,0,0,0,0,1.320146286,2,0.833333333,-0.079181246
20060,Pnoepyga formosana,Taiwan Wren-babbler,5,0,0,0,0,5,0,0,0,6,4,0,0,0,0,0,1.320146286,2,0.833333333,-0.079181246
